"","Time","Amplitude","Phase"
"1",128.38514,3.36003299498617e-05,0.450170441246579
"2",128.814265,3.42863050920701e-05,0.623760597643483
"3",129.24339,3.37738088813837e-05,0.476952964962762
"4",129.68273,2.60575186341875e-05,0.656018143884883
"5",130.11186,2.83241626825435e-05,0.521456080797335
"6",130.54098,2.2771999435319e-05,0.72163113700855
"7",130.97011,3.07533937588412e-05,0.610160501803177
"8",131.40945,2.77651929036211e-05,0.765470407221277
"9",131.838575,3.08232934141409e-05,0.691911920850361
"10",132.267695,5.25664121883514e-05,0.698457174983082
"11",132.70704,1.891458355612e-05,0.529015253939459
"12",133.14638,8.39845838741795e-05,0.804091654346048
"13",133.575505,7.79069278673144e-05,0.622031169116413
"14",134.00463,3.55849900001425e-05,0.0271348232655979
"15",134.443975,0.000105708655128065,0.70244219007457
"16",134.873095,2.57441064587647e-05,0.419637038563157
"17",135.302225,0.000112064190829308,0.775081480335649
"18",135.762,5.86343889255713e-05,0.516823807639665
"19",136.20134,0.0001334610961894,0.800598570173815
"20",136.640685,0.00010661831045059,0.600573818000388
"21",137.069805,0.000142214935955227,0.818511224375924
"22",137.49893,0.000167296663575346,0.674390478655294
"23",137.928055,0.000109199635091298,0.781649834006418
"24",138.98043,6.95969584773782e-05,0.746917683877397
"25",139.419775,0.00012663432434181,0.727717831446003
"26",139.8489,9.5002110140474e-05,0.744310305311114
"27",140.278025,0.000115691002501641,0.699392879743696
"28",140.717365,0.0001138056856532,0.754152798354688
"29",141.14649,0.000119919064758991,0.691178287795365
"30",141.575615,0.000137503676188468,0.754362948393194
"31",142.014955,0.000126111040128502,0.679891704498083
"32",142.4543,0.00015437275938455,0.742024809917744
"33",142.883425,0.000107451786983826,0.658917721433637
"34",143.31255,0.00016949015188799,0.739233820429246
"35",143.74167,0.000100159696442149,0.63909645607668
"36",144.1708,0.000175378254384913,0.733849366534592
"37",144.620355,8.84218994371643e-05,0.620311498125223
"38",145.04948,0.000169631169000985,0.72460600830294
"39",145.499035,9.00880178409545e-05,0.612996694982896
"40",145.928165,0.000131567204126777,0.721296617589373
"41",146.357285,0.000107160493080154,0.649892636291809
"42",146.786415,5.95632562885987e-05,0.657663729825008
"43",147.215535,0.000128829785727817,0.750161867326033
"44",147.654875,8.30106050835739e-05,0.602321079639655
"45",148.09422,8.76896989592314e-05,0.764469328618956
"46",148.53356,7.43172522884015e-05,0.642693590274787
"47",148.962685,6.61434433556673e-05,0.752768814255648
"48",149.39181,6.14888645999932e-05,0.679729446806208
"49",149.820935,5.56148575569684e-05,0.730083379019816
"50",150.250055,5.23845059478047e-05,0.686957806809309
"51",150.6894,4.84731291004182e-05,0.754856481986614
"52",151.128735,4.00127979937409e-05,0.702258624423843
"53",151.557865,2.9391061313117e-05,0.764425676197702
"54",151.986985,2.65223235730764e-05,0.710554862505853
"55",152.41611,1.45720153213286e-05,0.817202587683067
"56",152.845235,1.31828206928192e-05,0.77110108587356
"57",153.27436,1.52761929437747e-05,0.0447638635535232
"58",153.7137,1.39659075759056e-05,0.0680884487065777
"59",154.15304,2.7248967136066e-05,0.0756476617266406
"60",154.58216,2.65920457565981e-05,0.0858216481423499
"61",155.01129,2.83347115710724e-05,0.0799670806919102
"62",155.45063,3.77827683412662e-05,0.131654448550913
"63",155.87975,4.44112574543295e-05,0.100521543326696
"64",156.308875,4.62046983475259e-05,0.112742221513443
"65",156.748215,5.53139715378215e-05,0.108277084802258
"66",157.187555,5.77579051750942e-05,0.0934778907213251
"67",157.61668,6.71865690360281e-05,0.093351954644777
"68",160.4264,7.44177299416344e-05,0.0835145758136391
"69",160.86574,8.49973538493382e-05,0.0607978996664098
"70",161.30508,7.65201902260259e-05,0.0650158303785403
"71",161.7342,9.4319738082292e-05,0.0697613446581751
"72",162.17354,9.47971821459953e-05,0.0543866539490898
"73",162.612885,0.00010530073551581,0.0576593153610422
"74",163.042005,9.86176104085556e-05,0.0391535758505308
"75",163.47113,0.000105386663621822,0.050955032282334
"76",163.910465,0.000111909214236398,0.0293290481521244
"77",164.33959,0.000115270966042408,0.0366286811875689
"78",164.768715,0.000127608765798004,0.0227615121005854
"79",165.21827,0.000124602797925955,0.0307116267635104
"80",165.65761,0.000137004118477681,0.0169646450575635
"81",166.08673,0.000130000573938642,0.0224409435190048
"82",166.51585,0.000154646329004977,0.0139820790909745
"83",166.955195,0.000129942052539968,0.00940673446633664
"84",167.384315,0.000148824174479139,0.0153142755689797
"85",167.813435,0.000130737061941517,0.874895775063244
"86",168.252775,0.000145473542456676,0.0110435777237846
"87",168.681895,0.000134206916797694,0.866632207455161
"88",169.11102,0.000145691735193557,0.878938440519974
"89",169.550355,0.000150447849937545,0.857524880817497
"90",169.989695,0.000144790807724168,0.861736498674298
"91",170.41882,0.000150547584356654,0.855015611895666
"92",170.858155,0.000150118103452959,0.847786279016369
"93",171.28728,0.000146283335662949,0.844732044385742
"94",171.7164,0.000151614410134982,0.849136993308746
"95",173.23875,0.000152891672607049,0.840261932980182
"96",173.667875,0.000160543470793487,0.844604119529318
"97",174.096995,0.000152543874253864,0.83001664527966
"98",174.53633,0.000154408629438824,0.829975650000889
"99",174.97567,0.000144254091318874,0.82667702806133
"100",175.40479,0.000147640566710725,0.81733034673812
"101",178.214505,0.000132085249359558,0.812949396594557
"102",178.65384,0.000133567758893686,0.814990377852056
"103",179.082965,0.000136179252050124,0.802616672510434
"104",179.512085,0.00013104738392561,0.80135570461226
"105",179.95142,0.000126625513603397,0.792464358109821
"106",180.38054,0.000121820454337055,0.795979272315395
