"","Time","Amplitude","Phase"
"1",131.470755,8.17613926178012e-05,0.73966195707801
"2",131.899875,4.00862615343582e-05,0.0506082741331426
"3",132.329,9.73554997719108e-05,0.796391046980641
"4",132.76834,1.45026558544494e-05,0.81540284751086
"5",133.19747,0.000108970913495712,0.825914150830354
"6",133.62659,2.74313737262266e-05,0.683257655776686
"7",134.05572,0.000107606648679761,0.86806858147417
"8",134.49506,4.46547061893908e-05,0.690627457877488
"9",134.924185,9.6312847867464e-05,0.0198163845332217
"10",135.353305,5.94962557270452e-05,0.718156386951259
"11",135.79265,9.26636093557221e-05,0.0425689838400532
"12",136.23199,6.94853720029283e-05,0.744523207957558
"13",136.661115,7.81578031915919e-05,0.0764734871230599
"14",137.10046,7.52250161116862e-05,0.798349702487405
"15",137.5398,8.26418241480075e-05,0.0843728280057386
"16",137.968925,9.72382245666035e-05,0.822529133601746
"17",138.408265,7.33607832714449e-05,0.0768646981954611
"18",138.857825,0.000118093154048374,0.83675827944717
"19",139.297165,8.4177419858593e-05,0.0550675224554178
"20",139.73651,0.000132082630170103,0.860022929954066
"21",140.16563,7.87768660383647e-05,0.0198501216168724
"22",140.59476,0.000147509303516493,0.00747495318026751
"23",141.034095,7.78144847999172e-05,0.831363099260793
"24",142.09669,0.000109882584445153,0.0241333245483308
"25",142.536035,6.62175118571581e-05,0.848373658504005
"26",142.965155,0.000120051681627539,0.00982056588938076
"27",143.394285,5.72733481229617e-05,0.832869059915661
"28",143.823405,0.000121406824974231,0.0139117715452934
"29",144.252535,5.44643509528491e-05,0.824716606025737
"30",144.681655,0.000113578573959012,0.00610539612529557
"31",145.131215,4.82846814435713e-05,0.825388079158118
"32",145.57056,0.000120952696698111,0.873850697166856
"33",145.99968,3.72819825419831e-05,0.805602923483621
"34",146.428805,0.000120112824929048,0.876427653376405
"35",146.85793,4.24326395326502e-05,0.787603693927494
"36",147.287055,0.000112426021486518,0.877468486534979
"37",147.72639,4.11545436945417e-05,0.828222614826354
"38",148.165735,9.62568457038933e-05,0.866282485859337
"39",148.594855,5.1848755315767e-05,0.839192394763984
"40",149.023985,6.45700436787423e-05,0.861675814551474
"41",149.453105,7.08656017422745e-05,0.867348270170211
"42",149.88223,2.61107100935207e-05,0.707871786368077
"43",150.311355,9.61424536159017e-05,0.070244535254044
"44",150.750695,3.66661512758052e-05,0.735897713324973
"45",151.19004,6.57585613774437e-05,0.104685435368548
"46",151.61916,2.80961967264046e-05,0.85229806961601
"47",152.048285,5.35725517181474e-05,0.11263171287207
"48",152.47741,3.15534843630982e-05,0.0733603980890964
"49",152.906535,5.64773225486392e-05,0.133868532092015
"50",153.335655,3.99804380007449e-05,0.0973327430576329
"51",153.774995,5.55881654969412e-05,0.146223007147138
"52",154.214335,4.56911343841694e-05,0.132405161264195
"53",154.64346,5.54707699846609e-05,0.166841466982609
"54",157.45318,5.69255225011422e-05,0.174466900493037
"55",157.892525,6.34629417026366e-05,0.149954418700543
"56",158.321645,5.11978514414776e-05,0.200181905089751
"57",158.75077,6.69794494264146e-05,0.186970070395114
"58",159.19011,5.40670864120553e-05,0.218917279619708
"59",159.61923,7.17582241005983e-05,0.206389455270036
"60",160.04835,5.85788946038855e-05,0.209977627659313
"61",160.487695,7.51390620005353e-05,0.221386924348789
"62",160.927035,6.73151933234702e-05,0.220877938325836
"63",161.356155,8.24579805162718e-05,0.233389258341361
"64",161.78528,7.86152390771993e-05,0.223953810589523
"65",162.224615,8.82150568813e-05,0.24026236394525
"66",162.66396,8.88700978300312e-05,0.224004617093013
"67",163.09308,9.31533967878499e-05,0.236763548270019
"68",163.53242,9.60402773097471e-05,0.21939332041349
"69",163.96154,9.86540579419313e-05,0.231301959994766
"70",164.40088,0.000104868337422051,0.208398586444718
"71",164.83,9.87403945236617e-05,0.219937254213426
"72",165.26934,0.000110047790298692,0.203566458716862
"73",165.70868,0.000103723974037264,0.212685308155651
"74",166.1378,0.000120628827878003,0.197292917361954
"75",166.577145,0.000107481222552095,0.202406007787898
"76",167.01648,0.000124409780571814,0.190366436728654
"77",167.445605,0.000110557636032894,0.193093835108464
"78",167.874725,0.000129793799718679,0.186293924959919
"79",168.32428,0.000111049789503723,0.188080942186506
"80",168.753405,0.000138227665366458,0.184729681288274
"81",170.275755,0.000124642766167944,0.179162283954636
"82",170.704875,0.000145813246984626,0.18644438577329
"83",171.134,0.000131499687871504,0.166133383163816
"84",171.573335,0.000141472285170572,0.181894058465046
"85",172.002455,0.000138017107176493,0.156544040038595
"86",172.441795,0.000142899857274422,0.170969288334153
"87",172.870915,0.000134989620498762,0.152679968099817
"88",173.30004,0.000142675434847991,0.162430315220093
"89",173.72916,0.000138914145172714,0.14618852131703
"90",174.158275,0.000135877925386637,0.15333657647378
"91",174.59762,0.000131007566928086,0.145657647119964
"92",175.03695,0.000130163585952185,0.146164950195603
"93",175.466075,0.000124795934949415,0.1418126559414
"94",175.895195,0.000127187204336609,0.144726202281854
"95",176.324315,0.000117350161053749,0.138745902851087
"96",176.753435,0.000118966107452823,0.14491832999638
"97",177.182555,0.000107061692519892,0.142667451870309
"98",177.62189,0.000114203413773991,0.146272174927635
"99",178.06123,9.77281551135153e-05,0.152967301927986
"100",178.500565,0.000107231656075946,0.154695693417797
"101",181.310285,0.000101363263365189,0.14265135468044
"102",181.749615,9.62114972596672e-05,0.156488024828826
"103",182.17874,0.00010750860234596,0.143367419400299
"104",182.60786,0.000100565381951657,0.140319857817943
"105",183.047195,0.000106327574602791,0.135453345653838
"106",183.47631,9.99105020750438e-05,0.131331778755404
